id;source;created_date;is_retweet;text;text_retweet;language;hashtags;mentions;location;geo_location;geo_country;geo_coordinates;user_created_at;screen_name;name;profile_description;total_number_of_tweets;is_verified;followers_count;friends_count;retweets_count;favorite_count;url;listed_count;default_profile;default_profile_image;has_extended_profile;language_desc;tweet_full;pre_proc_tweet;stop_filter_tweet;pos_tags;stem_filter;lemma_filter
25000;twitter;1/27/18 5:36;TRUE;;RT @CHSommers: He has been derailed by an anonymous informant, giving her version of a bad date,to a loony reporter, at a sleazy website. H…;en;;;;;;;12/19/11 23:52;neilmlt;Neil;Dad, husband, Big Brother, reader, obstacle racer, very fortunate man;1347;False;86;221;790;0;;0;True;False;False;english;rt @chsommers: he has been derailed by an anonymous informant, giving her version of a bad date,to a loony reporter, at a sleazy website. h…;  he has been derailed by an anonymous informant, giving her version of a bad date,to a loony repoer, at a sleazy website. h…;derailed anonymous informant , giving version bad date , loony repoer , sleazy website . h… ;[('derailed', 'VBN'), ('anonymous', 'JJ'), ('informant', 'NN'), (',', ','), ('giving', 'VBG'), ('version', 'NN'), ('bad', 'JJ'), ('date', 'NN'), (',', ','), ('loony', 'NN'), ('repoer', 'NN'), (',', ','), ('sleazy', 'JJ'), ('website', 'NN'), ('.', '.'), ('h…', 'NN')];derail anonym inform , give version bad date , looni repoer , sleazi websit . h…;derail anonymous informant , give version bad date , loony repoer , sleazy website . h…
25001;twitter;1/27/18 5:36;TRUE;;RT @stanfordsymsys: #metoo was the Symbol of the Year from 2017, according to Stanford University Symbolic Systems Program alums, students,…;en;metoo;;California;;;;7/31/15 17:36;devangivivrekar;Devangi ✨;;1124;False;223;1615;20;0;;1;False;False;False;english;rt @stanfordsymsys: #metoo was the symbol of the year from 2017, according to stanford university symbolic systems program alums, students,…;   was the symbol of the year from 2017, according to stanford university symbolic systems program alums, students,…;symbol year 2017 , according stanford university symbolic systems program alums , students , … ;[('symbol', 'NN'), ('year', 'NN'), ('2017', 'CD'), (',', ','), ('according', 'VBG'), ('stanford', 'NN'), ('university', 'NN'), ('symbolic', 'JJ'), ('systems', 'NNS'), ('program', 'NN'), ('alums', 'NNS'), (',', ','), ('students', 'NNS'), (',', ','), ('…', 'NN')];symbol year 2017 , accord stanford univers symbol system program alum , student , …;symbol year 2017 , accord stanford university symbolic system program alum , student , …
25002;twitter;1/27/18 5:36;TRUE;;RT @secupp: For many in my generation, @HillaryClinton is the start of #metoo. Watching her stand by a man who abused his power and sexuall…;en;metoo;HillaryClinton;Russellville, Arkansas;;;;5/4/08 16:32;rdaily;Richard Daily;KB5FLA Amateur Radio Extra Class. ABEM AAEM Emergency Physician.;4766;False;450;466;182;0;;19;False;False;True;english;rt @secupp: for many in my generation, @hillaryclinton is the start of #metoo. watching her stand by a man who abused his power and sexuall…;  for many in my generation,  is the sta of  watching her stand by a man who abused his power and sexuall…;many generation , sta watching stand man abused power sexuall… ;[('many', 'JJ'), ('generation', 'NN'), (',', ','), ('sta', 'JJ'), ('watching', 'VBG'), ('stand', 'NN'), ('man', 'NN'), ('abused', 'VBD'), ('power', 'NN'), ('sexuall…', 'NN')];mani gener , sta watch stand man abus power sexuall…;many generation , sta watch stand man abuse power sexuall…
25003;twitter;1/27/18 5:36;FALSE;@RealAlexJones @PrisonPlanet Megyn is the queen of all media whores.  Of course, she’s jumping on the #MeToo bandwagon if she thinks she can milk some press out of it.  And all the better for her if she can drag a man down in the process.  Aren’t her 15 minutes up yet?;;en;MeToo;RealAlexJones,PrisonPlanet;Port St Joe, FL;;;;12/19/16 20:44;DaisyPickle6;Momma G;Curly Mama G Goddess of the Gulf;29495;False;394;179;0;0;;0;True;False;True;english;@realalexjones @prisonplanet megyn is the queen of all media whores.  of course, she’s jumping on the #metoo bandwagon if she thinks she can milk some press out of it.  and all the better for her if she can drag a man down in the process.  aren’t her 15 minutes up yet?;  megyn is the queen of all media whores.  of course, she’s jumping on the  bandwagon if she thinks she can milk some press out of it.  and all the better for her if she can drag a man down in the process.  aren’t her 15 minutes up yet?;megyn queen media whores . course , ’ jumping bandwagon thinks milk press . better drag man process . ’ 15 minutes yet ? ;[('megyn', 'NN'), ('queen', 'JJ'), ('media', 'NNS'), ('whores', 'NNS'), ('.', '.'), ('course', 'NN'), (',', ','), ('’', 'JJ'), ('jumping', 'NN'), ('bandwagon', 'NN'), ('thinks', 'VBZ'), ('milk', 'NN'), ('press', 'NN'), ('.', '.'), ('better', 'JJR'), ('drag', 'NN'), ('man', 'NN'), ('process', 'NN'), ('.', '.'), ('’', 'CC'), ('15', 'CD'), ('minutes', 'NNS'), ('yet', 'RB'), ('?', '.')];megyn queen media whore . cours , ’ jump bandwagon think milk press . better drag man process . ’ 15 minut yet ?;megyn queen medium whore . course , ’ jumping bandwagon think milk press . good drag man process . ’ 15 minute yet ?
25004;twitter;1/27/18 5:36;TRUE;;RT @MackenzieMays: I asked Fresno's top women about their #metoo stories. They are different, but all the same. Infuriating but unsurprisin…;en;metoo;;Fresno, CA;;;;10/16/08 4:45;jmurray59;Jody Murray;Husband, dad, big bro, grandpa, bionic man. Allez @GoDucks, @sfgiants. Sometimes I sits and thinks and sometimes I just sits.;6221;False;310;408;47;0;;25;False;False;False;english;rt @mackenziemays: i asked fresno's top women about their #metoo stories. they are different, but all the same. infuriating but unsurprisin…;  i asked fresno's top women about their  stories. they are different, but all the same. infuriating but unsurprisin…;asked fresno 's top women stories . different , . infuriating unsurprisin… ;"[('asked', 'VBN'), ('fresno', 'NN'), (""'s"", 'POS'), ('top', 'JJ'), ('women', 'NNS'), ('stories', 'NNS'), ('.', '.'), ('different', 'JJ'), (',', ','), ('.', '.'), ('infuriating', 'VBG'), ('unsurprisin…', 'JJ')]";ask fresno 's top women stori . differ , . infuri unsurprisin…;ask fresno 's top woman story . different , . infuriate unsurprisin…
25005;twitter;1/27/18 5:36;FALSE;The latest The J-Source Innovation Daily! https://t.co/bu1vH6cXZS #metoo #edshift;;en;metoo, edshift;;Canada;;;;7/21/09 19:57;jsourceinnovate;Robert Washburn;J-Source Innovation editor Robert Washburn tracks new trends in journalism and the latest developments that are transforming the practice and the industry.;5794;False;472;33;0;0;http://t.co/cW9haOqRU7;117;False;False;False;english;the latest the j-source innovation daily! https://t.co/bu1vh6cxzs #metoo #edshift;the latest the j-source innovation daily!   ;latest j-source innovation daily ! ;[('latest', 'JJS'), ('j-source', 'JJ'), ('innovation', 'NN'), ('daily', 'RB'), ('!', '.')];latest j-sourc innov daili !;late j-source innovation daily !
25006;twitter;1/27/18 5:36;FALSE;Wendy Williams: Ugh, I Am So Sick of the #MeToo Movement! https://t.co/706xrmanoD https://t.co/1hR949hoOK;;en;MeToo;;;;;;11/7/17 10:06;EnjoyStarfeed;StarFeed;;12237;False;6;94;0;0;;0;True;False;False;english;wendy williams: ugh, i am so sick of the #metoo movement! https://t.co/706xrmanod https://t.co/1hr949hook;wendy williams: ugh, i am so sick of the  movement!  ;wendy williams : ugh , sick movement ! ;[('wendy', 'JJ'), ('williams', 'NNS'), (':', ':'), ('ugh', 'NN'), (',', ','), ('sick', 'JJ'), ('movement', 'NN'), ('!', '.')];wendi william : ugh , sick movement !;wendy williams : ugh , sick movement !
25007;twitter;1/27/18 5:36;TRUE;;RT @misspenart: Here's an up to date article explaining the shady history of Anime Matsuri and their sexual harasser owner John Leigh, who…;en;;;Guatemalan in the USA;;;;4/11/13 23:37;OtterParade;ᴊᴀʏʙʟᴀᴅᴇ ₗₑₜ ᵢₜ ᵣᵢₚ;Jaden! They/He ☆  Proud Chapin 🇬🇹  Sad Cosplayer & Artist.  Lots of Jojo 🐞@devilhime I like making videos.;22979;False;239;235;513;0;https://t.co/TN8ZYOyl9z;3;False;False;True;english;rt @misspenart: here's an up to date article explaining the shady history of anime matsuri and their sexual harasser owner john leigh, who…;  here's an up to date aicle explaining the shady history of anime matsuri and their sexual harasser owner john leigh, who…;'s date aicle explaining shady history anime matsuri sexual harasser owner john leigh , who… ;"[(""'s"", 'POS'), ('date', 'NN'), ('aicle', 'NN'), ('explaining', 'VBG'), ('shady', 'JJ'), ('history', 'NN'), ('anime', 'NN'), ('matsuri', 'NN'), ('sexual', 'JJ'), ('harasser', 'NN'), ('owner', 'NN'), ('john', 'NN'), ('leigh', 'NN'), (',', ','), ('who…', 'NN')]";'s date aicl explain shadi histori anim matsuri sexual harass owner john leigh , who…;'s date aicle explain shady history anime matsuri sexual harasser owner john leigh , who…
25008;twitter;1/27/18 5:36;TRUE;;RT @drantbradley: Dear @ESPN, Rachael may be the best candidate for the Arthur Ashe Courage award that you've ever had. Ever. Read Rachael…;en;;espn;Arkansas, USA;;;;3/21/09 5:15;cook63;Kim Cook;[John 15:4 Remain in me, and I will remain in you...];10711;False;187;458;1288;0;;4;False;False;False;english;rt @drantbradley: dear @espn, rachael may be the best candidate for the arthur ashe courage award that you have ever had. ever. read rachael…;  dear  rachael may be the best candidate for the ahur ashe courage award that you have ever had. ever. read rachael…;dear rachael may best candidate ahur ashe courage award ever . ever . read rachael… ;[('dear', 'JJ'), ('rachael', 'NN'), ('may', 'MD'), ('best', 'VB'), ('candidate', 'NN'), ('ahur', 'IN'), ('ashe', 'JJ'), ('courage', 'NN'), ('award', 'NN'), ('ever', 'RB'), ('.', '.'), ('ever', 'RB'), ('.', '.'), ('read', 'VB'), ('rachael…', 'NN')];dear rachael may best candid ahur ash courag award ever . ever . read rachael…;dear rachael may best candidate ahur ashe courage award ever . ever . read rachael…
25009;twitter;1/27/18 5:36;FALSE;...does the guillotine sing for the peasant, are the humble heard in the halls of justice, can the wretched of the earth intone #MeToo and find that justice answers back?;;en;MeToo;;Orangeburg SC to Harlem NY;;;;6/21/09 2:19;negrosubversive;His Triumphant Blackness: The Negro Subversive;Guerilla essayist. Mandinka fighting man. A man of my times, the times just don't know it yet. Fisk Historian.;58843;False;3044;2166;1;3;https://t.co/t8LlSuDojZ;79;False;False;True;english;...does the guillotine sing for the peasant, are the humble heard in the halls of justice, can the wretched of the earth intone #metoo and find that justice answers back?;...does the guillotine sing for the peasant, are the humble heard in the halls of justice, can the wretched of the eah intone  and find that justice answers back?;... guillotine sing peasant , humble heard halls justice , wretched eah intone find justice answers back ? ;[('...', ':'), ('guillotine', 'NN'), ('sing', 'NN'), ('peasant', 'NN'), (',', ','), ('humble', 'JJ'), ('heard', 'NN'), ('halls', 'NNS'), ('justice', 'NN'), (',', ','), ('wretched', 'VBD'), ('eah', 'RB'), ('intone', 'JJ'), ('find', 'NN'), ('justice', 'NN'), ('answers', 'NNS'), ('back', 'RB'), ('?', '.')];... guillotin sing peasant , humbl heard hall justic , wretch eah inton find justic answer back ?;... guillotine sing peasant , humble heard hall justice , wretched eah intone find justice answer back ?
