id;source;created_date;is_retweet;text;text_retweet;language;hashtags;mentions;location;geo_location;geo_country;geo_coordinates;user_created_at;screen_name;name;profile_description;total_number_of_tweets;is_verified;followers_count;friends_count;retweets_count;favorite_count;url;listed_count;default_profile;default_profile_image;has_extended_profile;language_desc;tweet_full;pre_proc_tweet;stop_filter_tweet;pos_tags;stem_filter;lemma_filter
36000;twitter;1/22/18 1:18;TRUE;;RT @billmaher: Giving up on the idea that even bad things have degrees. That is as dumb as embracing the idea of alternative facts. #MeToo…;en;MeToo;;;;;;11/12/13 2:01;JamieJrwhite100;Jamie White;;1317;False;3;39;3883;0;;1;True;True;False;english;rt @billmaher: giving up on the idea that even bad things have degrees. that is as dumb as embracing the idea of alternative facts. #metoo…;  giving up on the idea that even bad things have degrees. that is as dumb as embracing the idea of alternative facts. ;giving idea even bad things degrees . dumb embracing idea alternative facts . ;[('giving', 'VBG'), ('idea', 'NN'), ('even', 'RB'), ('bad', 'JJ'), ('things', 'NNS'), ('degrees', 'NNS'), ('.', '.'), ('dumb', 'JJ'), ('embracing', 'VBG'), ('idea', 'NN'), ('alternative', 'JJ'), ('facts', 'NNS'), ('.', '.')];give idea even bad thing degre . dumb embrac idea altern fact .;give idea even bad thing degree . dumb embrace idea alternative fact .
36001;twitter;1/22/18 1:18;TRUE;;RT @BLFF_org: .@SenWarren. @SenatorCollins. @lisamurkowski. @KamalaHarris. @CEmmanuelle. @cathymcmorris. @SallyQYates. @spicerformayor. @Ki…;en;;SenWarren,SenatorCollins,lisamurkowski,KamalaHarris,CEmmanuelle,cathymcmorris,SallyQYates,spicerformayor;;;;;2/9/17 21:12;DonnaGeary10;Donna Geary;Wife, mother, grandmother, and great grandmother. Be kind to one another. #resist #theresistance #ProtectMueller #ProtectRosenstein #OpBlueWave 🌊🌊🌊🌊;19640;False;1912;2334;87;0;;1;True;False;False;english;rt @blff_org: .@senwarren. @senatorcollins. @lisamurkowski. @kamalaharris. @cemmanuelle. @cathymcmorris. @sallyqyates. @spicerformayor. @ki…;  .        ;. ;[('.', '.')];.;.
36002;twitter;1/22/18 1:16;TRUE;;RT @ajplus: These guys started meeting once a month after the #MeToo campaign went viral. https://t.co/31720snXUn;en;MeToo;;;;;;4/27/12 22:15;Sof_AM;Ana Sofía;| Feminista ♀| Activista | Escribo para @LibertadReplica | Tea drinker 🍵;8004;False;273;635;172;0;;2;False;False;False;english;rt @ajplus: these guys started meeting once a month after the #metoo campaign went viral. https://t.co/31720snxun;  these guys staed meeting once a month after the  campaign went viral. ;guys staed meeting month campaign went viral . ;[('guys', 'NNS'), ('staed', 'JJ'), ('meeting', 'VBG'), ('month', 'NN'), ('campaign', 'NN'), ('went', 'VBD'), ('viral', 'JJ'), ('.', '.')];guy sta meet month campaign went viral .;guy staed meet month campaign go viral .
36003;twitter;1/22/18 1:16;TRUE;;RT @_alyssaaannnn: it really hits me how scary the world is for women when i think about the fact that every single one of my friends have…;en;;;;;;;3/24/14 23:43;vllxv;vee🌺;Briana💞💍;22357;False;486;121;4;0;;2;True;False;True;english;rt @_alyssaaannnn: it really hits me how scary the world is for women when i think about the fact that every single one of my friends have…;  it really hits me how scary the world is for women when i think about the fact that every single one of my friends have…;really hits scary world women think fact every single one friends have… ;[('really', 'RB'), ('hits', 'VBZ'), ('scary', 'JJ'), ('world', 'NN'), ('women', 'NNS'), ('think', 'VBP'), ('fact', 'NN'), ('every', 'DT'), ('single', 'JJ'), ('one', 'CD'), ('friends', 'VBZ'), ('have…', 'NN')];realli hit scari world women think fact everi singl one friend have…;really hit scary world woman think fact every single one friends have…
36004;twitter;1/22/18 1:17;FALSE;Dear Grace (#metoo) https://t.co/HvTUrEHdtB via @wordpressdotcom;;en;metoo;wordpressdotcom;New Zealand;;;;6/15/09 6:57;Freeflow09;Freeflow09;[ Healing and growing...😌🇳🇿🌷🌹 ];543;False;103;643;0;0;;0;False;False;False;english;dear grace (#metoo) https://t.co/hvturehdtb via @wordpressdotcom;dear grace (  via ;dear grace ( via ;[('dear', 'JJ'), ('grace', 'NN'), ('(', '('), ('via', 'IN')];dear grace ( via;dear grace ( via
36005;twitter;1/22/18 1:17;FALSE;@darkgio6 Todo esta temporada de premios esta impactada por el movimiento #metoo y #timesup pero no dudes que  Nicole Kidman y Elisabeth Moss la rompen en cada uno de sus papeles. Al mismo tiempo, asi es como Aziz Ansari y no se que paso con James Franco ni aparecieron.;;es;metoo, timesup;darkgio6;Argentina;;;;5/13/17 2:07;ControlRoboto;Control Roboto 🤖 💚 Cine y Series;Series, películas, cultura popular y sucesos paranormales  #series #peliculas #movies #comics #netflix #reviews #dc #marvel #robots #paranormal #geek #feminismo;3329;False;154;526;0;1;https://t.co/6aeNNwcR93;3;False;False;True;spanish;@darkgio6 todo esta temporada de premios esta impactada por el movimiento #metoo y #timesup pero no dudes que  nicole kidman y elisabeth moss la rompen en cada uno de sus papeles. al mismo tiempo, asi es como aziz ansari y no se que paso con james franco ni aparecieron.; todo esta temporada de premios esta impactada por el movimiento  y  pero no dudes que  nicole kidman y elisabeth moss la rompen en cada uno de sus papeles. al mismo tiempo, asi es como aziz ansari y no se que paso con james franco ni aparecieron.;temporada premios impactada movimiento dudes nicole kidman elisabeth moss rompen cada papeles . mismo tiempo , asi aziz ansari paso james franco aparecieron . ;[('temporada', 'JJ'), ('premios', 'NNS'), ('impactada', 'VBP'), ('movimiento', 'NN'), ('dudes', 'NNS'), ('nicole', 'JJ'), ('kidman', 'JJ'), ('elisabeth', 'VBZ'), ('moss', 'NN'), ('rompen', 'VB'), ('cada', 'NN'), ('papeles', 'NNS'), ('.', '.'), ('mismo', 'NN'), ('tiempo', 'NN'), (',', ','), ('asi', 'JJ'), ('aziz', 'NN'), ('ansari', 'NN'), ('paso', 'NN'), ('james', 'NNS'), ('franco', 'VBP'), ('aparecieron', 'NN'), ('.', '.')];temporada premio impactada movimiento dude nicol kidman elisabeth moss rompen cada papel . mismo tiempo , asi aziz ansari paso jame franco aparecieron .;temporada premios impactada movimiento dude nicole kidman elisabeth moss rompen cada papeles . mismo tiempo , asi aziz ansari paso james franco aparecieron .
36006;twitter;1/22/18 1:17;TRUE;;RT @LaOrejaRoja: En Colombia una mujer es agredida sexualmente cada 26 minutos y de esas agresiones sexuales el 85% son contra niñas y adol…;es;;;Colombia;;;;9/6/13 16:13;CasimiroRC;CasimiroRC 🇨🇴🥑🐝;"Soy Resistencia. No descansaré hasta tener una Colombia más Humana.
Progresista y petrista.                          #SigámonosLosBuenos";103826;False;3509;3280;21;0;;18;False;False;False;spanish;rt @laorejaroja: en colombia una mujer es agredida sexualmente cada 26 minutos y de esas agresiones sexuales el 85% son contra niñas y adol…;  en colombia una mujer es agredida sexualmente cada 26 minutos y de esas agresiones sexuales el 85% son contra niñas y adol…;colombia mujer agredida sexualmente cada 26 minutos agresiones sexuales 85 % niñas adol… ;[('colombia', 'NN'), ('mujer', 'RBS'), ('agredida', 'JJ'), ('sexualmente', 'NN'), ('cada', 'VBD'), ('26', 'CD'), ('minutos', 'NNS'), ('agresiones', 'NNS'), ('sexuales', 'NNS'), ('85', 'CD'), ('%', 'NN'), ('niñas', 'JJ'), ('adol…', 'NN')];colombia mujer agredida sexualment cada 26 minuto agresion sexual 85 % niña adol…;colombia mujer agredida sexualmente cada 26 minutos agresiones sexuales 85 % niñas adol…
36008;twitter;1/22/18 1:17;TRUE;;RT @ajplus: These guys started meeting once a month after the #MeToo campaign went viral. https://t.co/31720snXUn;en;MeToo;;New Jersey, USA;;;;9/12/09 0:10;TheDrifter__;Drifting Thoughts🍃;Just a drifter.  IG: @thedrifter__  Read before you leave.;87035;False;905;727;172;0;;28;False;False;True;english;rt @ajplus: these guys started meeting once a month after the #metoo campaign went viral. https://t.co/31720snxun;  these guys staed meeting once a month after the  campaign went viral. ;guys staed meeting month campaign went viral . ;[('guys', 'NNS'), ('staed', 'JJ'), ('meeting', 'VBG'), ('month', 'NN'), ('campaign', 'NN'), ('went', 'VBD'), ('viral', 'JJ'), ('.', '.')];guy sta meet month campaign went viral .;guy staed meet month campaign go viral .
36009;twitter;1/22/18 1:17;TRUE;;"RT @TaranaBurke: @violadavis And when you finish that watch @Alyssa_Milano get the crowd going in Atlanta! 

https://t.co/7Q0BMmgJ0m";en;;violadavis,Alyssa_Milano;Los Angeles, CA;;;;8/16/15 23:47;jchurt2;jc hurt;♥ twd,bds,Norman Reedus,music, draw/paint, design/make jewelry, books, scifi, wiccan,art,movies,nature ♥&HUGGGSSS            #ReedusWarriors  kitty2stars on ig;79420;False;3434;3873;115;0;;282;True;False;True;english;"rt @taranaburke: @violadavis and when you finish that watch @alyssa_milano get the crowd going in atlanta! 

https://t.co/7q0bmmgj0m";"   and when you finish that watch  get the crowd going in atlanta! 

";finish watch get crowd going atlanta ! ;[('finish', 'JJ'), ('watch', 'NN'), ('get', 'NN'), ('crowd', 'NN'), ('going', 'VBG'), ('atlanta', 'NN'), ('!', '.')];finish watch get crowd go atlanta !;finish watch get crowd go atlanta !
36010;twitter;1/22/18 1:17;FALSE;"Judy Gold's excellent question: how do we teach young people how to socialize when their socialization is done primarily through ""social"" media? Static, linear interactions; sex texts &amp; pics. #social #feminism #MeToo https://t.co/ie6Lo4FCdF";;en;social, feminism, MeToo;;;;;;5/7/17 1:15;MVelvetNYC;Melancholy Velvet;;100;False;3;17;0;0;https://t.co/NccMzvlbaG;0;True;False;False;english;"judy gold's excellent question: how do we teach young people how to socialize when their socialization is done primarily through ""social"" media? static, linear interactions; sex texts &amp; pics. #social #feminism #metoo https://t.co/ie6lo4fcdf";"judy gold's excellent question: how do we teach young people how to socialize when their socialization is done primarily through ""social"" media? static, linear interactions; sex texts &amp; pics.    ";"judy gold 's excellent question : teach young people socialize socialization done primarily `` social '' media ? static , linear interactions ; sex texts & amp ; pics . ";"[('judy', 'NN'), ('gold', 'NN'), (""'s"", 'POS'), ('excellent', 'JJ'), ('question', 'NN'), (':', ':'), ('teach', 'NN'), ('young', 'JJ'), ('people', 'NNS'), ('socialize', 'VBP'), ('socialization', 'NN'), ('done', 'VBN'), ('primarily', 'RB'), ('``', '``'), ('social', 'JJ'), ('``', '``'), ('media', 'NNS'), ('?', '.'), ('static', 'JJ'), (',', ','), ('linear', 'JJ'), ('interactions', 'NNS'), (';', ':'), ('sex', 'NN'), ('texts', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('pics', 'NNS'), ('.', '.')]";"judi gold 's excel question : teach young peopl social social done primarili `` social `` media ? static , linear interact ; sex text & amp ; pic .";"judy gold 's excellent question : teach young people socialize socialization do primarily  social  medium ? static , linear interaction ; sex text & amp ; pic ."
